2020-11-13 14:43:48,051 [main] INFO  org.apache.iotdb.db.conf.IoTDBDescriptor:148 - Start to read config file file:sbin/../conf/iotdb-engine.properties 
2020-11-13 14:45:02,304 [pool-6-IoTDB-RPC-Client-thread-42] INFO  org.apache.iotdb.db.service.TSServiceImpl:251 - User root opens Session-101 
2020-11-13 14:45:02,313 [pool-6-IoTDB-RPC-Client-thread-70] INFO  org.apache.iotdb.db.service.TSServiceImpl:252 - IoTDB: Login status: Login successfully. User : root 
2020-11-13 14:45:02,304 [pool-6-IoTDB-RPC-Client-thread-104] INFO  org.apache.iotdb.db.service.TSServiceImpl:251 - User root opens Session-111 
2020-11-13 14:45:02,310 [pool-6-IoTDB-RPC-Client-thread-24] INFO  org.apache.iotdb.db.service.TSServiceImpl:251 - User root opens Session-75 
2020-11-13 14:45:02,313 [pool-6-IoTDB-RPC-Client-thread-43] INFO  org.apache.iotdb.db.service.TSServiceImpl:252 - IoTDB: Login status: Login successfully. User : root 
2020-11-13 14:45:02,304 [pool-6-IoTDB-RPC-Client-thread-14] INFO  org.apache.iotdb.db.service.TSServiceImpl:251 - User root opens Session-82 
2020-11-13 14:45:02,313 [pool-6-IoTDB-RPC-Client-thread-44] INFO  org.apache.iotdb.db.service.TSServiceImpl:252 - IoTDB: Login status: Login successfully. User : root 
2020-11-13 14:45:02,313 [pool-6-IoTDB-RPC-Client-thread-42] INFO  org.apache.iotdb.db.service.TSServiceImpl:252 - IoTDB: Login status: Login successfully. User : root 
2020-11-13 14:45:02,314 [pool-6-IoTDB-RPC-Client-thread-104] INFO  org.apache.iotdb.db.service.TSServiceImpl:252 - IoTDB: Login status: Login successfully. User : root 
2020-11-13 14:45:02,314 [pool-6-IoTDB-RPC-Client-thread-24] INFO  org.apache.iotdb.db.service.TSServiceImpl:252 - IoTDB: Login status: Login successfully. User : root 
2020-11-13 14:45:02,304 [pool-6-IoTDB-RPC-Client-thread-127] INFO  org.apache.iotdb.db.service.TSServiceImpl:251 - User root opens Session-60 
2020-11-13 14:45:02,304 [pool-6-IoTDB-RPC-Client-thread-28] INFO  org.apache.iotdb.db.service.TSServiceImpl:251 - User root opens Session-37 
2020-11-13 14:45:02,310 [pool-6-IoTDB-RPC-Client-thread-74] INFO  org.apache.iotdb.db.service.TSServiceImpl:251 - User root opens Session-103 
2020-11-13 14:45:02,314 [pool-6-IoTDB-RPC-Client-thread-14] INFO  org.apache.iotdb.db.service.TSServiceImpl:252 - IoTDB: Login status: Login successfully. User : root 
2020-11-13 14:45:02,310 [pool-6-IoTDB-RPC-Client-thread-110] INFO  org.apache.iotdb.db.service.TSServiceImpl:251 - User root opens Session-30 
2020-11-13 14:45:02,314 [pool-6-IoTDB-RPC-Client-thread-127] INFO  org.apache.iotdb.db.service.TSServiceImpl:252 - IoTDB: Login status: Login successfully. User : root 
2020-11-13 14:45:02,304 [pool-6-IoTDB-RPC-Client-thread-25] INFO  org.apache.iotdb.db.service.TSServiceImpl:251 - User root opens Session-90 
2020-11-13 14:45:02,304 [pool-6-IoTDB-RPC-Client-thread-76] INFO  org.apache.iotdb.db.service.TSServiceImpl:251 - User root opens Session-80 
2020-11-13 14:45:02,314 [pool-6-IoTDB-RPC-Client-thread-74] INFO  org.apache.iotdb.db.service.TSServiceImpl:252 - IoTDB: Login status: Login successfully. User : root 
2020-11-13 14:45:02,304 [pool-6-IoTDB-RPC-Client-thread-106] INFO  org.apache.iotdb.db.service.TSServiceImpl:251 - User root opens Session-14 
2020-11-13 14:45:02,314 [pool-6-IoTDB-RPC-Client-thread-28] INFO  org.apache.iotdb.db.service.TSServiceImpl:252 - IoTDB: Login status: Login successfully. User : root 
2020-11-13 14:45:02,304 [pool-6-IoTDB-RPC-Client-thread-7] INFO  org.apache.iotdb.db.service.TSServiceImpl:251 - User root opens Session-52 
2020-11-13 14:45:02,315 [pool-6-IoTDB-RPC-Client-thread-110] INFO  org.apache.iotdb.db.service.TSServiceImpl:252 - IoTDB: Login status: Login successfully. User : root 
2020-11-13 14:45:02,310 [pool-6-IoTDB-RPC-Client-thread-158] INFO  org.apache.iotdb.db.service.TSServiceImpl:251 - User root opens Session-157 
2020-11-13 14:45:02,315 [pool-6-IoTDB-RPC-Client-thread-25] INFO  org.apache.iotdb.db.service.TSServiceImpl:252 - IoTDB: Login status: Login successfully. User : root 
2020-11-13 14:45:02,315 [pool-6-IoTDB-RPC-Client-thread-76] INFO  org.apache.iotdb.db.service.TSServiceImpl:252 - IoTDB: Login status: Login successfully. User : root 
2020-11-13 14:45:02,304 [pool-6-IoTDB-RPC-Client-thread-101] INFO  org.apache.iotdb.db.service.TSServiceImpl:251 - User root opens Session-51 
2020-11-13 14:45:02,315 [pool-6-IoTDB-RPC-Client-thread-106] INFO  org.apache.iotdb.db.service.TSServiceImpl:252 - IoTDB: Login status: Login successfully. User : root 
2020-11-13 14:45:02,304 [pool-6-IoTDB-RPC-Client-thread-17] INFO  org.apache.iotdb.db.service.TSServiceImpl:251 - User root opens Session-86 
2020-11-13 14:45:02,315 [pool-6-IoTDB-RPC-Client-thread-101] INFO  org.apache.iotdb.db.service.TSServiceImpl:252 - IoTDB: Login status: Login successfully. User : root 
2020-11-13 14:45:02,304 [pool-6-IoTDB-RPC-Client-thread-65] INFO  org.apache.iotdb.db.service.TSServiceImpl:251 - User root opens Session-1 
2020-11-13 14:45:02,315 [pool-6-IoTDB-RPC-Client-thread-7] INFO  org.apache.iotdb.db.service.TSServiceImpl:252 - IoTDB: Login status: Login successfully. User : root 
2020-11-13 14:45:02,304 [pool-6-IoTDB-RPC-Client-thread-112] INFO  org.apache.iotdb.db.service.TSServiceImpl:251 - User root opens Session-87 
2020-11-13 14:45:02,304 [pool-6-IoTDB-RPC-Client-thread-137] INFO  org.apache.iotdb.db.service.TSServiceImpl:251 - User root opens Session-137 
2020-11-13 14:45:02,315 [pool-6-IoTDB-RPC-Client-thread-158] INFO  org.apache.iotdb.db.service.TSServiceImpl:252 - IoTDB: Login status: Login successfully. User : root 
2020-11-13 14:45:02,304 [pool-6-IoTDB-RPC-Client-thread-150] INFO  org.apache.iotdb.db.service.TSServiceImpl:251 - User root opens Session-150 
2020-11-13 14:45:02,304 [pool-6-IoTDB-RPC-Client-thread-119] INFO  org.apache.iotdb.db.service.TSServiceImpl:251 - User root opens Session-81 
2020-11-13 14:45:02,304 [pool-6-IoTDB-RPC-Client-thread-35] INFO  org.apache.iotdb.db.service.TSServiceImpl:251 - User root opens Session-78 
2020-11-13 14:45:02,310 [pool-6-IoTDB-RPC-Client-thread-159] INFO  org.apache.iotdb.db.service.TSServiceImpl:251 - User root opens Session-158 
2020-11-13 14:45:02,316 [pool-6-IoTDB-RPC-Client-thread-17] INFO  org.apache.iotdb.db.service.TSServiceImpl:252 - IoTDB: Login status: Login successfully. User : root 
2020-11-13 14:45:02,304 [pool-6-IoTDB-RPC-Client-thread-87] INFO  org.apache.iotdb.db.service.TSServiceImpl:251 - User root opens Session-43 
2020-11-13 14:45:02,316 [pool-6-IoTDB-RPC-Client-thread-65] INFO  org.apache.iotdb.db.service.TSServiceImpl:252 - IoTDB: Login status: Login successfully. User : root 
2020-11-13 14:45:02,304 [pool-6-IoTDB-RPC-Client-thread-19] INFO  org.apache.iotdb.db.service.TSServiceImpl:251 - User root opens Session-13 
2020-11-13 14:45:02,316 [pool-6-IoTDB-RPC-Client-thread-137] INFO  org.apache.iotdb.db.service.TSServiceImpl:252 - IoTDB: Login status: Login successfully. User : root 
2020-11-13 14:45:02,316 [pool-6-IoTDB-RPC-Client-thread-112] INFO  org.apache.iotdb.db.service.TSServiceImpl:252 - IoTDB: Login status: Login successfully. User : root 
2020-11-13 14:45:02,304 [pool-6-IoTDB-RPC-Client-thread-105] INFO  org.apache.iotdb.db.service.TSServiceImpl:251 - User root opens Session-24 
2020-11-13 14:45:02,316 [pool-6-IoTDB-RPC-Client-thread-150] INFO  org.apache.iotdb.db.service.TSServiceImpl:252 - IoTDB: Login status: Login successfully. User : root 
2020-11-13 14:45:02,304 [pool-6-IoTDB-RPC-Client-thread-152] INFO  org.apache.iotdb.db.service.TSServiceImpl:251 - User root opens Session-152 
2020-11-13 14:45:02,316 [pool-6-IoTDB-RPC-Client-thread-35] INFO  org.apache.iotdb.db.service.TSServiceImpl:252 - IoTDB: Login status: Login successfully. User : root 
2020-11-13 14:45:02,304 [pool-6-IoTDB-RPC-Client-thread-102] INFO  org.apache.iotdb.db.service.TSServiceImpl:251 - User root opens Session-6 
2020-11-13 14:45:02,316 [pool-6-IoTDB-RPC-Client-thread-119] INFO  org.apache.iotdb.db.service.TSServiceImpl:252 - IoTDB: Login status: Login successfully. User : root 
2020-11-13 14:45:02,304 [pool-6-IoTDB-RPC-Client-thread-107] INFO  org.apache.iotdb.db.service.TSServiceImpl:251 - User root opens Session-9 
2020-11-13 14:45:02,316 [pool-6-IoTDB-RPC-Client-thread-159] INFO  org.apache.iotdb.db.service.TSServiceImpl:252 - IoTDB: Login status: Login successfully. User : root 
2020-11-13 14:45:02,317 [pool-6-IoTDB-RPC-Client-thread-107] INFO  org.apache.iotdb.db.service.TSServiceImpl:252 - IoTDB: Login status: Login successfully. User : root 
2020-11-13 14:45:02,304 [pool-6-IoTDB-RPC-Client-thread-117] INFO  org.apache.iotdb.db.service.TSServiceImpl:251 - User root opens Session-83 
2020-11-13 14:45:02,316 [pool-6-IoTDB-RPC-Client-thread-87] INFO  org.apache.iotdb.db.service.TSServiceImpl:252 - IoTDB: Login status: Login successfully. User : root 
2020-11-13 14:45:02,310 [pool-6-IoTDB-RPC-Client-thread-121] INFO  org.apache.iotdb.db.service.TSServiceImpl:251 - User root opens Session-55 
2020-11-13 14:45:02,310 [pool-6-IoTDB-RPC-Client-thread-60] INFO  org.apache.iotdb.db.service.TSServiceImpl:251 - User root opens Session-32 
2020-11-13 14:45:02,317 [pool-6-IoTDB-RPC-Client-thread-19] INFO  org.apache.iotdb.db.service.TSServiceImpl:252 - IoTDB: Login status: Login successfully. User : root 
2020-11-13 14:45:02,304 [pool-6-IoTDB-RPC-Client-thread-109] INFO  org.apache.iotdb.db.service.TSServiceImpl:251 - User root opens Session-53 
2020-11-13 14:45:02,310 [pool-6-IoTDB-RPC-Client-thread-100] INFO  org.apache.iotdb.db.service.TSServiceImpl:251 - User root opens Session-73 
2020-11-13 14:45:02,310 [pool-6-IoTDB-RPC-Client-thread-16] INFO  org.apache.iotdb.db.service.TSServiceImpl:251 - User root opens Session-5 
2020-11-13 14:45:02,317 [pool-6-IoTDB-RPC-Client-thread-105] INFO  org.apache.iotdb.db.service.TSServiceImpl:252 - IoTDB: Login status: Login successfully. User : root 
2020-11-13 14:45:02,304 [pool-6-IoTDB-RPC-Client-thread-55] INFO  org.apache.iotdb.db.service.TSServiceImpl:251 - User root opens Session-40 
2020-11-13 14:45:02,304 [pool-6-IoTDB-RPC-Client-thread-51] INFO  org.apache.iotdb.db.service.TSServiceImpl:251 - User root opens Session-77 
2020-11-13 14:45:02,317 [pool-6-IoTDB-RPC-Client-thread-152] INFO  org.apache.iotdb.db.service.TSServiceImpl:252 - IoTDB: Login status: Login successfully. User : root 
2020-11-13 14:45:02,310 [pool-6-IoTDB-RPC-Client-thread-53] INFO  org.apache.iotdb.db.service.TSServiceImpl:251 - User root opens Session-34 
2020-11-13 14:45:02,317 [pool-6-IoTDB-RPC-Client-thread-102] INFO  org.apache.iotdb.db.service.TSServiceImpl:252 - IoTDB: Login status: Login successfully. User : root 
2020-11-13 14:45:02,310 [pool-6-IoTDB-RPC-Client-thread-115] INFO  org.apache.iotdb.db.service.TSServiceImpl:251 - User root opens Session-74 
2020-11-13 14:45:02,310 [pool-6-IoTDB-RPC-Client-thread-30] INFO  org.apache.iotdb.db.service.TSServiceImpl:251 - User root opens Session-3 
2020-11-13 14:45:02,310 [pool-6-IoTDB-RPC-Client-thread-99] INFO  org.apache.iotdb.db.service.TSServiceImpl:251 - User root opens Session-94 
2020-11-13 14:45:02,304 [pool-6-IoTDB-RPC-Client-thread-113] INFO  org.apache.iotdb.db.service.TSServiceImpl:251 - User root opens Session-11 
2020-11-13 14:45:02,310 [pool-6-IoTDB-RPC-Client-thread-47] INFO  org.apache.iotdb.db.service.TSServiceImpl:251 - User root opens Session-48 
2020-11-13 14:45:02,318 [pool-6-IoTDB-RPC-Client-thread-113] INFO  org.apache.iotdb.db.service.TSServiceImpl:252 - IoTDB: Login status: Login successfully. User : root 
2020-11-13 14:45:02,317 [pool-6-IoTDB-RPC-Client-thread-117] INFO  org.apache.iotdb.db.service.TSServiceImpl:252 - IoTDB: Login status: Login successfully. User : root 
2020-11-13 14:45:02,304 [pool-6-IoTDB-RPC-Client-thread-122] INFO  org.apache.iotdb.db.service.TSServiceImpl:251 - User root opens Session-61 
2020-11-13 14:45:02,304 [pool-6-IoTDB-RPC-Client-thread-85] INFO  org.apache.iotdb.db.service.TSServiceImpl:251 - User root opens Session-16 
2020-11-13 14:45:02,318 [pool-6-IoTDB-RPC-Client-thread-121] INFO  org.apache.iotdb.db.service.TSServiceImpl:252 - IoTDB: Login status: Login successfully. User : root 
2020-11-13 14:45:02,318 [pool-6-IoTDB-RPC-Client-thread-60] INFO  org.apache.iotdb.db.service.TSServiceImpl:252 - IoTDB: Login status: Login successfully. User : root 
2020-11-13 14:45:02,318 [pool-6-IoTDB-RPC-Client-thread-109] INFO  org.apache.iotdb.db.service.TSServiceImpl:252 - IoTDB: Login status: Login successfully. User : root 
2020-11-13 14:45:02,310 [pool-6-IoTDB-RPC-Client-thread-86] INFO  org.apache.iotdb.db.service.TSServiceImpl:251 - User root opens Session-106 
2020-11-13 14:45:02,318 [pool-6-IoTDB-RPC-Client-thread-100] INFO  org.apache.iotdb.db.service.TSServiceImpl:252 - IoTDB: Login status: Login successfully. User : root 
2020-11-13 14:45:02,318 [pool-6-IoTDB-RPC-Client-thread-16] INFO  org.apache.iotdb.db.service.TSServiceImpl:252 - IoTDB: Login status: Login successfully. User : root 
2020-11-13 14:45:02,310 [pool-6-IoTDB-RPC-Client-thread-2] INFO  org.apache.iotdb.db.service.TSServiceImpl:251 - User root opens Session-93 
2020-11-13 14:45:02,318 [pool-6-IoTDB-RPC-Client-thread-55] INFO  org.apache.iotdb.db.service.TSServiceImpl:252 - IoTDB: Login status: Login successfully. User : root 
2020-11-13 14:45:02,318 [pool-6-IoTDB-RPC-Client-thread-51] INFO  org.apache.iotdb.db.service.TSServiceImpl:252 - IoTDB: Login status: Login successfully. User : root 
2020-11-13 14:45:02,310 [pool-6-IoTDB-RPC-Client-thread-97] INFO  org.apache.iotdb.db.service.TSServiceImpl:251 - User root opens Session-136 
2020-11-13 14:45:02,310 [pool-6-IoTDB-RPC-Client-thread-125] INFO  org.apache.iotdb.db.service.TSServiceImpl:251 - User root opens Session-62 
2020-11-13 14:45:02,310 [pool-6-IoTDB-RPC-Client-thread-71] INFO  org.apache.iotdb.db.service.TSServiceImpl:251 - User root opens Session-12 
2020-11-13 14:45:02,320 [pool-6-IoTDB-RPC-Client-thread-71] INFO  org.apache.iotdb.db.service.TSServiceImpl:252 - IoTDB: Login status: Login successfully. User : root 
2020-11-13 14:45:02,318 [pool-6-IoTDB-RPC-Client-thread-53] INFO  org.apache.iotdb.db.service.TSServiceImpl:252 - IoTDB: Login status: Login successfully. User : root 
2020-11-13 14:45:02,310 [pool-6-IoTDB-RPC-Client-thread-6] INFO  org.apache.iotdb.db.service.TSServiceImpl:251 - User root opens Session-108 
2020-11-13 14:45:02,304 [pool-6-IoTDB-RPC-Client-thread-120] INFO  org.apache.iotdb.db.service.TSServiceImpl:251 - User root opens Session-89 
2020-11-13 14:45:02,320 [pool-6-IoTDB-RPC-Client-thread-6] INFO  org.apache.iotdb.db.service.TSServiceImpl:252 - IoTDB: Login status: Login successfully. User : root 
2020-11-13 14:45:02,320 [pool-6-IoTDB-RPC-Client-thread-120] INFO  org.apache.iotdb.db.service.TSServiceImpl:252 - IoTDB: Login status: Login successfully. User : root 
2020-11-13 14:45:02,318 [pool-6-IoTDB-RPC-Client-thread-115] INFO  org.apache.iotdb.db.service.TSServiceImpl:252 - IoTDB: Login status: Login successfully. User : root 
2020-11-13 14:45:02,310 [pool-6-IoTDB-RPC-Client-thread-157] INFO  org.apache.iotdb.db.service.TSServiceImpl:251 - User root opens Session-160 
2020-11-13 14:45:02,318 [pool-6-IoTDB-RPC-Client-thread-30] INFO  org.apache.iotdb.db.service.TSServiceImpl:252 - IoTDB: Login status: Login successfully. User : root 
2020-11-13 14:45:02,310 [pool-6-IoTDB-RPC-Client-thread-160] INFO  org.apache.iotdb.db.service.TSServiceImpl:251 - User root opens Session-159 
2020-11-13 14:45:02,318 [pool-6-IoTDB-RPC-Client-thread-99] INFO  org.apache.iotdb.db.service.TSServiceImpl:252 - IoTDB: Login status: Login successfully. User : root 
2020-11-13 14:45:02,304 [pool-6-IoTDB-RPC-Client-thread-128] INFO  org.apache.iotdb.db.service.TSServiceImpl:251 - User root opens Session-58 
2020-11-13 14:45:02,310 [pool-6-IoTDB-RPC-Client-thread-45] INFO  org.apache.iotdb.db.service.TSServiceImpl:251 - User root opens Session-50 
2020-11-13 14:45:02,310 [pool-6-IoTDB-RPC-Client-thread-8] INFO  org.apache.iotdb.db.service.TSServiceImpl:251 - User root opens Session-72 
2020-11-13 14:45:02,319 [pool-6-IoTDB-RPC-Client-thread-47] INFO  org.apache.iotdb.db.service.TSServiceImpl:252 - IoTDB: Login status: Login successfully. User : root 
2020-11-13 14:45:02,310 [pool-6-IoTDB-RPC-Client-thread-13] INFO  org.apache.iotdb.db.service.TSServiceImpl:251 - User root opens Session-105 
2020-11-13 14:45:02,310 [pool-6-IoTDB-RPC-Client-thread-154] INFO  org.apache.iotdb.db.service.TSServiceImpl:251 - User root opens Session-154 
2020-11-13 14:45:02,319 [pool-6-IoTDB-RPC-Client-thread-122] INFO  org.apache.iotdb.db.service.TSServiceImpl:252 - IoTDB: Login status: Login successfully. User : root 
2020-11-13 14:45:02,319 [pool-6-IoTDB-RPC-Client-thread-85] INFO  org.apache.iotdb.db.service.TSServiceImpl:252 - IoTDB: Login status: Login successfully. User : root 
2020-11-13 14:45:02,304 [pool-6-IoTDB-RPC-Client-thread-75] INFO  org.apache.iotdb.db.service.TSServiceImpl:251 - User root opens Session-99 
2020-11-13 14:45:02,304 [pool-6-IoTDB-RPC-Client-thread-118] INFO  org.apache.iotdb.db.service.TSServiceImpl:251 - User root opens Session-88 
2020-11-13 14:45:02,319 [pool-6-IoTDB-RPC-Client-thread-86] INFO  org.apache.iotdb.db.service.TSServiceImpl:252 - IoTDB: Login status: Login successfully. User : root 
2020-11-13 14:45:02,304 [pool-6-IoTDB-RPC-Client-thread-58] INFO  org.apache.iotdb.db.service.TSServiceImpl:251 - User root opens Session-36 
2020-11-13 14:45:02,319 [pool-6-IoTDB-RPC-Client-thread-2] INFO  org.apache.iotdb.db.service.TSServiceImpl:252 - IoTDB: Login status: Login successfully. User : root 
2020-11-13 14:45:02,310 [pool-6-IoTDB-RPC-Client-thread-15] INFO  org.apache.iotdb.db.service.TSServiceImpl:251 - User root opens Session-21 
2020-11-13 14:45:02,310 [pool-6-IoTDB-RPC-Client-thread-68] INFO  org.apache.iotdb.db.service.TSServiceImpl:251 - User root opens Session-107 
2020-11-13 14:45:02,320 [pool-6-IoTDB-RPC-Client-thread-97] INFO  org.apache.iotdb.db.service.TSServiceImpl:252 - IoTDB: Login status: Login successfully. User : root 
2020-11-13 14:45:02,310 [pool-6-IoTDB-RPC-Client-thread-89] INFO  org.apache.iotdb.db.service.TSServiceImpl:251 - User root opens Session-44 
2020-11-13 14:45:02,320 [pool-6-IoTDB-RPC-Client-thread-125] INFO  org.apache.iotdb.db.service.TSServiceImpl:252 - IoTDB: Login status: Login successfully. User : root 
